Translator,Poem ID,OP>,Exact(E),Field(F),Group(G),Total(T),Unmatch(U),CT,Original(W),Annotation(A),FG-paraphrase(P1),U-paraphrase(P2),Pure-addition,Gap
kaneko,0534,18,0.33,0.17,0.00,0.50,0.50,57,0.11,0.89,0.05,0.42,0.42,0.26
kaneko,0535,16,0.81,0.12,0.00,0.94,0.06,37,0.35,0.65,0.08,0.04,0.53,0.04
kaneko,0536,14,0.50,0.29,0.14,0.93,0.07,39,0.18,0.82,0.21,0.04,0.57,0.07
kaneko,0537,13,0.77,0.00,0.08,0.85,0.15,28,0.36,0.64,0.04,0.09,0.51,0.02
kaneko,0538,16,0.75,0.12,0.06,0.94,0.06,40,0.30,0.70,0.07,0.04,0.59,0.01
kaneko,0539,17,0.59,0.12,0.12,0.82,0.18,55,0.18,0.82,0.07,0.13,0.61,0.08
kaneko,0540,15,0.47,0.13,0.13,0.73,0.27,42,0.17,0.83,0.12,0.19,0.52,0.12
kaneko,0541,15,0.67,0.00,0.13,0.80,0.20,44,0.23,0.77,0.05,0.15,0.58,0.08
kaneko,0542,16,0.50,0.25,0.06,0.81,0.19,23,0.35,0.65,0.22,0.08,0.35,0.05
kaneko,0543,15,0.40,0.13,0.07,0.60,0.40,39,0.15,0.85,0.10,0.30,0.45,0.17
kaneko,0544,16,0.44,0.31,0.06,0.81,0.19,65,0.12,0.88,0.09,0.15,0.64,0.12
kaneko,0545,16,0.31,0.38,0.25,0.94,0.06,43,0.12,0.88,0.23,0.04,0.61,0.02
kaneko,0546,16,0.69,0.12,0.00,0.81,0.19,30,0.37,0.63,0.10,0.10,0.43,0.03
kaneko,0547,20,0.75,0.00,0.05,0.80,0.20,42,0.36,0.64,0.02,0.12,0.50,0.03
kaneko,0548,19,0.79,0.16,0.00,0.95,0.05,40,0.38,0.62,0.07,0.03,0.52,0.00
kaneko,0549,19,0.58,0.05,0.05,0.68,0.32,56,0.21,0.79,0.04,0.24,0.51,0.15
kaneko,0550,14,0.43,0.21,0.21,0.86,0.14,41,0.15,0.85,0.15,0.10,0.61,0.05
kaneko,0551,18,0.56,0.06,0.17,0.78,0.22,40,0.25,0.75,0.10,0.14,0.51,0.04
kaneko,0552,19,0.32,0.26,0.26,0.84,0.16,40,0.15,0.85,0.23,0.10,0.53,0.00
kaneko,0553,16,0.50,0.38,0.00,0.88,0.12,32,0.28,0.72,0.22,0.06,0.44,0.06
kaneko,0554,14,0.57,0.00,0.00,0.57,0.43,48,0.17,0.83,0.00,0.36,0.48,0.23
kaneko,0555,17,0.59,0.06,0.18,0.82,0.18,48,0.21,0.79,0.08,0.12,0.58,0.06
kaneko,0556,17,0.71,0.12,0.06,0.88,0.12,47,0.26,0.74,0.06,0.08,0.60,0.04
kaneko,0557,16,0.56,0.25,0.00,0.81,0.19,60,0.15,0.85,0.07,0.15,0.64,0.10
kaneko,0558,14,0.43,0.36,0.07,0.86,0.14,40,0.15,0.85,0.17,0.10,0.58,0.07
kaneko,0559,16,0.25,0.38,0.06,0.69,0.31,36,0.11,0.89,0.19,0.22,0.48,0.08
kaneko,0560,17,0.47,0.24,0.12,0.82,0.18,31,0.26,0.74,0.19,0.10,0.45,0.00
kaneko,0561,15,0.67,0.07,0.13,0.87,0.13,41,0.27,0.73,0.07,0.09,0.57,0.06
kaneko,0562,16,0.44,0.31,0.06,0.81,0.19,44,0.16,0.84,0.14,0.13,0.57,0.06
kaneko,0563,17,0.59,0.18,0.12,0.88,0.12,32,0.31,0.69,0.16,0.06,0.47,0.00
kaneko,0564,16,0.56,0.19,0.12,0.88,0.12,27,0.33,0.67,0.19,0.06,0.42,0.01
kaneko,0565,19,0.89,0.00,0.05,0.95,0.05,31,0.55,0.45,0.03,0.02,0.40,0.01
kaneko,0566,18,0.78,0.00,0.06,0.83,0.17,38,0.37,0.63,0.03,0.10,0.50,0.02
kaneko,0567,16,0.50,0.19,0.19,0.88,0.12,52,0.15,0.85,0.12,0.09,0.64,0.05
kaneko,0568,16,0.75,0.12,0.00,0.88,0.12,40,0.30,0.70,0.10,0.07,0.52,0.08
kaneko,0569,17,0.41,0.18,0.18,0.76,0.24,72,0.11,0.89,0.11,0.18,0.59,0.17
kaneko,0570,17,0.71,0.00,0.12,0.82,0.18,33,0.36,0.64,0.06,0.10,0.47,0.01
kaneko,0571,15,0.47,0.20,0.07,0.73,0.27,41,0.17,0.83,0.12,0.19,0.52,0.12
kaneko,0572,15,0.47,0.33,0.00,0.80,0.20,50,0.14,0.86,0.10,0.15,0.61,0.09
kaneko,0573,16,0.50,0.31,0.12,0.94,0.06,50,0.16,0.84,0.14,0.04,0.66,0.02
kaneko,0574,18,0.61,0.28,0.06,0.94,0.06,42,0.29,0.71,0.12,0.03,0.56,0.01
kaneko,0575,18,0.61,0.11,0.17,0.89,0.11,30,0.37,0.63,0.17,0.05,0.41,0.01
kaneko,0576,14,0.36,0.36,0.00,0.71,0.29,47,0.11,0.89,0.13,0.22,0.55,0.16
kaneko,0577,19,0.42,0.32,0.05,0.79,0.21,40,0.20,0.80,0.17,0.13,0.49,0.03
kaneko,0578,16,0.56,0.19,0.06,0.81,0.19,33,0.27,0.73,0.15,0.11,0.47,0.05
kaneko,0579,15,0.60,0.20,0.13,0.93,0.07,43,0.21,0.79,0.12,0.04,0.63,0.02
kaneko,0580,15,0.60,0.20,0.07,0.87,0.13,47,0.21,0.79,0.06,0.10,0.63,0.05
kaneko,0581,17,0.47,0.18,0.18,0.82,0.18,27,0.30,0.70,0.22,0.08,0.40,0.03
kaneko,0582,17,0.71,0.18,0.06,0.94,0.06,42,0.29,0.71,0.10,0.04,0.58,0.01
kaneko,0583,18,0.72,0.06,0.11,0.89,0.11,34,0.38,0.62,0.09,0.06,0.47,0.00
kaneko,0584,19,0.68,0.05,0.16,0.89,0.11,50,0.26,0.74,0.12,0.07,0.55,0.07
kaneko,0585,16,0.44,0.19,0.12,0.75,0.25,28,0.25,0.75,0.21,0.13,0.40,0.03
kaneko,0586,13,0.77,0.08,0.15,1.00,0.00,23,0.43,0.57,0.13,0.00,0.43,0.00
kaneko,0587,15,0.60,0.33,0.07,1.00,0.00,42,0.24,0.76,0.14,0.00,0.62,0.02
kaneko,0588,17,0.65,0.18,0.12,0.94,0.06,75,0.15,0.85,0.07,0.05,0.74,0.03
kaneko,0589,16,0.44,0.25,0.06,0.75,0.25,87,0.08,0.92,0.06,0.22,0.65,0.17
kaneko,0590,17,0.71,0.18,0.06,0.94,0.06,31,0.39,0.61,0.13,0.03,0.46,0.00
kaneko,0591,16,0.56,0.19,0.00,0.75,0.25,55,0.16,0.84,0.05,0.20,0.59,0.12
kaneko,0592,17,0.65,0.12,0.12,0.88,0.12,31,0.35,0.65,0.10,0.06,0.48,0.03
kaneko,0593,17,0.65,0.12,0.12,0.88,0.12,40,0.28,0.72,0.10,0.07,0.55,0.02
kaneko,0594,13,0.38,0.15,0.00,0.54,0.46,20,0.25,0.75,0.10,0.30,0.35,0.00
kaneko,0595,19,0.68,0.16,0.05,0.89,0.11,42,0.31,0.69,0.10,0.06,0.53,0.02
kaneko,0596,17,0.71,0.12,0.00,0.82,0.18,30,0.40,0.60,0.07,0.09,0.44,0.01
kaneko,0597,15,0.53,0.13,0.13,0.80,0.20,31,0.26,0.74,0.13,0.12,0.49,0.03
kaneko,0598,14,0.43,0.29,0.14,0.86,0.14,47,0.15,0.85,0.13,0.10,0.62,0.08
kaneko,0599,15,0.33,0.40,0.00,0.73,0.27,34,0.15,0.85,0.18,0.18,0.50,0.06
kaneko,0600,16,0.50,0.19,0.06,0.75,0.25,60,0.13,0.87,0.10,0.19,0.57,0.16
kaneko,0601,15,0.27,0.27,0.27,0.80,0.20,35,0.11,0.89,0.23,0.13,0.53,0.05
kaneko,0602,18,0.67,0.17,0.06,0.89,0.11,37,0.32,0.68,0.14,0.06,0.48,0.03
kaneko,0603,18,0.61,0.17,0.06,0.83,0.17,74,0.15,0.85,0.07,0.13,0.65,0.10
kaneko,0604,18,0.67,0.06,0.00,0.72,0.28,47,0.26,0.74,0.02,0.20,0.52,0.09
kaneko,0605,17,0.53,0.18,0.00,0.71,0.29,52,0.19,0.81,0.06,0.22,0.53,0.14
kaneko,0606,15,0.27,0.40,0.13,0.80,0.20,35,0.11,0.89,0.23,0.13,0.53,0.05
kaneko,0607,15,0.60,0.20,0.13,0.93,0.07,48,0.19,0.81,0.08,0.05,0.68,0.01
kaneko,0608,19,0.21,0.53,0.21,0.95,0.05,55,0.07,0.93,0.27,0.03,0.62,0.03
kaneko,0609,17,0.65,0.12,0.12,0.88,0.12,49,0.22,0.78,0.08,0.08,0.61,0.04
kaneko,0610,16,0.44,0.06,0.12,0.62,0.38,30,0.23,0.77,0.13,0.24,0.40,0.07
kaneko,0611,18,0.78,0.06,0.06,0.89,0.11,38,0.37,0.63,0.08,0.06,0.49,0.04
kaneko,0612,15,0.33,0.33,0.13,0.80,0.20,50,0.12,0.88,0.14,0.15,0.59,0.11
kaneko,0613,18,0.33,0.22,0.06,0.61,0.39,40,0.15,0.85,0.12,0.28,0.44,0.11
kaneko,0614,16,0.69,0.06,0.12,0.88,0.12,46,0.24,0.76,0.07,0.09,0.61,0.04
