Translator,PoemID,opN,ctN,TotalMatch,Unmatch,ExactMatch,FieldMatch,GroupMatch,AdditionRate,UnmatchRate,TotalMatch_a,Unmatch_a,ExactMatch_a,FieldMatch_a,GroupMatch_a,AdditionRate_a,UnmatchRate_a
kojimaarai,0008,17,59,14,3,10,1,3,0.7627118644067796,0.17647058823529413,10,7,6,1,3,0.8305084745762712,0.4117647058823529
komachiya,0008,17,33,12,5,6,2,4,0.6363636363636364,0.29411764705882354,8,9,5,1,2,0.7575757575757576,0.5294117647058824
kubota,0008,17,44,13,4,6,1,6,0.7045454545454546,0.23529411764705882,8,9,5,1,2,0.8181818181818181,0.5294117647058824
kyusojin,0008,17,35,13,4,6,2,5,0.6285714285714286,0.23529411764705882,10,7,6,2,2,0.7142857142857143,0.4117647058823529
matsuda,0008,17,37,13,4,5,1,7,0.6486486486486487,0.23529411764705882,8,9,5,1,2,0.7837837837837838,0.5294117647058824
okumura,0008,17,53,14,3,7,2,5,0.7358490566037736,0.17647058823529413,10,7,6,2,2,0.8113207547169812,0.4117647058823529
ozawa,0008,17,51,12,5,3,2,7,0.7647058823529411,0.29411764705882354,9,8,3,2,4,0.8235294117647058,0.47058823529411764
takeoka,0008,17,20,13,4,8,1,4,0.35,0.23529411764705882,10,7,8,1,1,0.5,0.4117647058823529
kaneko,0009,19,35,18,1,14,2,2,0.48571428571428577,0.05263157894736842,16,3,12,2,2,0.5428571428571429,0.15789473684210525
katagiri,0009,19,35,17,2,11,2,4,0.5142857142857142,0.10526315789473684,13,6,10,2,1,0.6285714285714286,0.3157894736842105
kojimaarai,0009,19,34,18,1,13,1,4,0.47058823529411764,0.05263157894736842,12,7,11,1,0,0.6470588235294117,0.3684210526315789
komachiya,0009,19,29,18,1,11,1,6,0.3793103448275862,0.05263157894736842,13,6,11,1,1,0.5517241379310345,0.3157894736842105
kubota,0009,19,32,18,1,13,1,4,0.4375,0.05263157894736842,13,6,10,1,2,0.59375,0.3157894736842105
kyusojin,0009,19,38,19,0,14,2,3,0.5,0.0,14,5,12,1,1,0.631578947368421,0.2631578947368421
matsuda,0009,19,28,18,1,13,1,4,0.3571428571428571,0.05263157894736842,14,5,11,1,2,0.5,0.2631578947368421
okumura,0009,19,34,19,0,13,2,4,0.4411764705882353,0.0,14,5,11,2,1,0.5882352941176471,0.2631578947368421
ozawa,0009,19,31,18,1,10,3,5,0.4193548387096774,0.05263157894736842,13,6,8,3,2,0.5806451612903225,0.3157894736842105
takeoka,0009,19,24,18,1,11,3,4,0.25,0.05263157894736842,15,4,11,3,1,0.375,0.21052631578947367
kaneko,0010,18,51,15,3,4,2,9,0.7058823529411764,0.16666666666666666,9,9,4,1,4,0.8235294117647058,0.5
katagiri,0010,18,45,16,2,9,2,5,0.6444444444444444,0.1111111111111111,12,6,8,2,2,0.7333333333333334,0.3333333333333333
kojimaarai,0010,18,34,15,3,7,3,5,0.5588235294117647,0.16666666666666666,10,8,6,3,1,0.7058823529411764,0.4444444444444444
