: | 
01:000108 | 花のちることやわひしき春霞立田の山の鴬のこゑ
01:000629:0001 A00 BG-01-3072-03-1100 51 あやなく 文無し あやなし 文無く あやなく 
01:000629:0002 A00 BG-08-0064-16-0100 64 て て て て て 
01:000629:0003 A00 BG-03-1660-03-1100 55 またき 夙 まだき 夙 まだき 
01:000629:0004 B00 BG-01-3440-07-0700 02 なき名 無き名 なきな 無き名 なきな 
01:000629:0004 C00 BG-03-1200-02-0100 51 無い 無い ない 無い ない 
01:000629:0004 C01 BG-01-3102-02-0100 28 名 名 めい 名 めい 
01:000629:0005 A00 BG-08-0061-07-0100 61 の の の の の 
01:000629:0006 D00 CH-29-5250-01-0400 11 立田河 立田河 たつたがは 立田河 たつたがは 
01:000629:0006 E00 CH-29-0000-00-1800 11 立田 立田 たつた 立田 たつた 
01:000629:0006 E01 BG-08-0071-01-0100 71 の の の の の 
01:000629:0006 E02 BG-01-5250-01-0100 02 川 川 かわ 川 かわ 
01:000629:0007 A00 BG-02-1503-01-0201 47 わたら 渡る わたる 渡ら わたら 
01:000629:0007 A10 BG-02-1521-04-0100 47 わたら 渡る わたる 渡ら わたら 
01:000629:0007 A20 BG-02-1521-12-0100 47 わたら 渡る わたる 渡ら わたら 
01:000629:0008 A00 BG-08-0064-17-0100 64 て で で で で 
01:000629:0009 A00 BG-02-1502-03-0100 47 やま 止む やむ 止ま やま 
01:000629:0010 A00 BG-03-3012-03-2600 74 ん む む む む 
01:000629:0010 A10 BG-09-0010-02-0102 74 ん む む む む 
01:000629:0011 A00 BG-01-1000-03-0201 02 物 物 もの 物 もの 
01:000629:0011 A10 BG-01-4000-01-0800 02 物 物 もの 物 もの 
01:000629:0012 A00 BG-09-0010-02-0700 74 なら なり なり なら なら 
01:000629:0012 A10 BG-09-0050-01-0100 74 なら なり なり なら なら 
01:000629:0013 A00 BG-03-1200-02-0800 74 な ず ず な な 
01:000629:0013 A10 BG-09-0010-01-0100 74 な ず ず な な 
01:000629:0014 A00 BG-08-0071-05-0100 71 く く く く く 
01:000629:0015 A00 BG-08-0061-05-0100 61 に に に に に 
01:000994 | 風ふけはおきつ白浪たつた山夜半にや君かひとりこゆらん
01:000994:0001 A00 BG-01-5151-01-0100 02 風 風 かぜ 風 かぜ 
01:000994:0002 A00 BG-02-3394-07-0100 47 ふけ 吹く ふく 吹け ふけ 
01:000994:0002 A10 BG-02-5150-05-0100 47 ふけ 吹く ふく 吹け ふけ 
01:000994:0003 A00 BG-08-0064-26-0100 64 は ば ば ば ば 
01:000994:0004 A00 BG-01-5260-03-0600 02 おき 沖 おき 沖 おき 
01:000994:0005 A00 BG-08-0071-02-0100 61 つ つ つ つ つ 
01:000994:0006 B00 BG-01-5155-01-0600 02 白浪 白浪 しらなみ 白浪 しらなみ 
01:000994:0006 C00 BG-01-5020-03-0400 02 白 白 しろ 白 しろ 
01:000994:0006 C01 BG-01-5155-01-0100 02 波 波 なみ 波 なみ 
01:000994:0007 D00 CH-29-5240-05-0500 11 たつた山 立田山 たつたやま 立田山 たつたやま 
01:000994:0007 E00 CH-29-0000-00-1800 11 立田 立田 たつた 立田 たつた 
01:000994:0007 E01 BG-08-0071-01-0100 71 の の の の の 
01:000994:0007 E02 BG-01-5240-05-0100 02 山 山 やま 山 やま 
01:000994:0008 A00 BG-01-1635-05-1300 02 夜半 夜半 よは 夜半 よは 
01:000994:0009 A00 BG-08-0061-05-0100 61 に に に に に 
01:000994:0010 A00 BG-08-0065-14-0100 65 や や や や や 
01:000994:0011 A00 BG-01-2000-02-0300 14 君 君 きみ 君 きみ 
01:000994:0012 A00 BG-08-0065-14-0400 65 か か か か か 
01:000994:0013 A00 BG-01-1950-13-0101 02 ひとり 一人 ひとり 一人 ひとり 
01:000994:0013 A10 BG-03-1980-01-0103 02 ひとり 一人 ひとり 一人 ひとり 
01:000994:0014 A00 BG-02-1521-11-0100 47 こゆ 越ゆ こゆ 越ゆ こゆ 
01:000994:0015 A00 BG-09-0010-02-0103 74 らん らむ らむ らむ らむ 
01:000995 | たかみそきゆふつけとりか唐衣たつたの山におりはへてなく
01:000995:0001 A00 BG-01-2000-06-0100 14 た 誰 た 誰 た 
01:000995:0002 A00 BG-08-0061-02-0100 61 か が が が が 
01:000995:0003 A00 BG-01-3360-03-0901 02 みそき 禊 みそぎ 禊 みそぎ 
